"Time","Est_(1) Full","SE_(1) Full","Est_(2) Low R.","SE_(2) Low R.","Est_(3) High R.","SE_(3) High R.","Est_(4) Low V.","SE_(4) Low V.","Est_(5) High V.","SE_(5) High V.","Est_(6) LR-LV","SE_(6) LR-LV","Est_(7) HR-HV","SE_(7) HR-HV","Est_.1..Full","SE_.1..Full","Est_.2..Low.R.","SE_.2..Low.R.","Est_.3..High.R.","SE_.3..High.R.","Est_.4..Low.V.","SE_.4..Low.V.","Est_.5..High.V.","SE_.5..High.V.","Est_.6..LR.LV","SE_.6..LR.LV","Est_.7..HR.HV","SE_.7..HR.HV"
"-6","-0.005","(0.023)","—","","-0.021","(0.027)","—","","-0.021","(0.031)","—","","-0.026","(0.029)","","","","","","","","","","","","","",""
"-5","0.002","(0.021)","—","","-0.012","(0.026)","—","","-0.013","(0.027)","—","","-0.016","(0.028)","","","","","","","","","","","","","",""
"-4","0.01*","(0.006)","—","","0.005","(0.008)","—","","0.008","(0.009)","—","","0.007","(0.008)","","","","","","","","","","","","","",""
"-3","0.005","(0.004)","—","","0.003","(0.004)","—","","0.005","(0.006)","—","","0.004","(0.004)","","","","","","","","","","","","","",""
"-2","0","(0.003)","—","","0.002","(0.003)","—","","0.002","(0.004)","—","","0.003","(0.003)","","","","","","","","","","","","","",""
"-1","0.001","(0.001)","—","","0.002","(0.002)","—","","0","(0.003)","—","","0.001","(0.002)","","","","","","","","","","","","","",""
"1","0.045","(0.03)","0.008","(0.042)","0.055","(0.038)","—","","0.076*","(0.042)","-0.029","(0.031)","0.084**","(0.041)","","","","","","","","","","","","","",""
"2","0.033","(0.021)","—","","0.051***","(0.018)","—","","0.059**","(0.025)","—","","0.064***","(0.022)","","","","","","","","","","","","","",""
"3","0.045**","(0.022)","—","","0.058**","(0.023)","—","","0.075***","(0.027)","—","","0.074***","(0.021)","","","","","","","","","","","","","",""
"4","0.046**","(0.021)","—","","0.059**","(0.024)","—","","0.076***","(0.029)","—","","0.075***","(0.022)","","","","","","","","","","","","","",""
"5","0.047**","(0.021)","—","","0.06**","(0.024)","—","","0.078***","(0.027)","—","","0.075***","(0.022)","","","","","","","","","","","","","",""
"6","0.046**","(0.022)","—","","0.058**","(0.025)","—","","0.077***","(0.027)","—","","0.073***","(0.024)","","","","","","","","","","","","","",""
"ATE","0.044**","(0.02)","0.008","(0.042)","0.057**","(0.027)","—","","0.073***","(0.018)","-0.029","(0.031)","0.074***","(0.019)","","","","","","","","","","","","","",""
"Observations","9,028","","1,803","","7,225","","2,011","","7,017","","894","","6,108","","","","","","","","","","","","","","",""
"Pre-trend test (p)","0.000","","—","","0.000","","—","","0.000","","—","","0.000","","","","","","","","","","","","","","",""
"Product FE","","","","","","","","","","","","","","","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES"
"Day FE","","","","","","","","","","","","","","","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES"
"Retailer x Month FE","","","","","","","","","","","","","","","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES"
